"ID","Ozone","Solar","Wind","Temp","Month","Day","Date","Temp.C","Wind.ms"
1,41,190,7.4,67,"May",1,"May-1",19.4444444444444,3.308096
2,36,118,8,72,"May",2,"May-2",22.2222222222222,3.57632
3,12,149,12.6,74,"May",3,"May-3",23.3333333333333,5.632704
4,18,313,11.5,62,"May",4,"May-4",16.6666666666667,5.14096
5,NA,NA,14.3,56,"May",5,"May-5",13.3333333333333,6.392672
6,28,NA,14.9,66,"May",6,"May-6",18.8888888888889,6.660896
7,23,299,8.6,65,"May",7,"May-7",18.3333333333333,3.844544
8,19,99,13.8,59,"May",8,"May-8",15,6.169152
9,8,19,20.1,61,"May",9,"May-9",16.1111111111111,8.985504
10,NA,194,8.6,69,"May",10,"May-10",20.5555555555556,3.844544
11,7,NA,6.9,74,"May",11,"May-11",23.3333333333333,3.084576
12,16,256,9.7,69,"May",12,"May-12",20.5555555555556,4.336288
13,11,290,9.2,66,"May",13,"May-13",18.8888888888889,4.112768
14,14,274,10.9,68,"May",14,"May-14",20,4.872736
15,18,65,13.2,58,"May",15,"May-15",14.4444444444444,5.900928
16,14,334,11.5,64,"May",16,"May-16",17.7777777777778,5.14096
17,34,307,12,66,"May",17,"May-17",18.8888888888889,5.36448
18,6,78,18.4,57,"May",18,"May-18",13.8888888888889,8.225536
19,30,322,11.5,68,"May",19,"May-19",20,5.14096
20,11,44,9.7,62,"May",20,"May-20",16.6666666666667,4.336288
21,1,8,9.7,59,"May",21,"May-21",15,4.336288
22,11,320,16.6,73,"May",22,"May-22",22.7777777777778,7.420864
23,4,25,9.7,61,"May",23,"May-23",16.1111111111111,4.336288
24,32,92,12,61,"May",24,"May-24",16.1111111111111,5.36448
25,NA,66,16.6,57,"May",25,"May-25",13.8888888888889,7.420864
26,NA,266,14.9,58,"May",26,"May-26",14.4444444444444,6.660896
27,NA,NA,8,57,"May",27,"May-27",13.8888888888889,3.57632
28,23,13,12,67,"May",28,"May-28",19.4444444444444,5.36448
29,45,252,14.9,81,"May",29,"May-29",27.2222222222222,6.660896
30,115,223,5.7,79,"May",30,"May-30",26.1111111111111,2.548128
31,37,279,7.4,76,"May",31,"May-31",24.4444444444444,3.308096
32,NA,286,8.6,78,"June",1,"June-1",25.5555555555556,3.844544
33,NA,287,9.7,74,"June",2,"June-2",23.3333333333333,4.336288
34,NA,242,16.1,67,"June",3,"June-3",19.4444444444444,7.197344
35,NA,186,9.2,84,"June",4,"June-4",28.8888888888889,4.112768
36,NA,220,8.6,85,"June",5,"June-5",29.4444444444444,3.844544
37,NA,264,14.3,79,"June",6,"June-6",26.1111111111111,6.392672
38,29,127,9.7,82,"June",7,"June-7",27.7777777777778,4.336288
39,NA,273,6.9,87,"June",8,"June-8",30.5555555555556,3.084576
40,71,291,13.8,90,"June",9,"June-9",32.2222222222222,6.169152
41,39,323,11.5,87,"June",10,"June-10",30.5555555555556,5.14096
42,NA,259,10.9,93,"June",11,"June-11",33.8888888888889,4.872736
43,NA,250,9.2,92,"June",12,"June-12",33.3333333333333,4.112768
44,23,148,8,82,"June",13,"June-13",27.7777777777778,3.57632
45,NA,332,13.8,80,"June",14,"June-14",26.6666666666667,6.169152
46,NA,322,11.5,79,"June",15,"June-15",26.1111111111111,5.14096
47,21,191,14.9,77,"June",16,"June-16",25,6.660896
48,37,284,20.7,72,"June",17,"June-17",22.2222222222222,9.253728
49,20,37,9.2,65,"June",18,"June-18",18.3333333333333,4.112768
50,12,120,11.5,73,"June",19,"June-19",22.7777777777778,5.14096
51,13,137,10.3,76,"June",20,"June-20",24.4444444444444,4.604512
52,NA,150,6.3,77,"June",21,"June-21",25,2.816352
