measurement,divingtime,subspecies,season
1,9.5,C,1
2,11.9,C,1
3,13.4,C,1
4,13.8,C,1
5,15.3,C,1
6,15.5,C,2
7,15.6,C,2
8,16.7,C,2
9,16.8,C,2
10,18.7,C,2
11,18.7,C,3
12,20.3,C,3
13,21.6,C,3
14,21.8,C,3
15,22.0,C,3
16,24.1,C,4
17,24.2,C,4
18,25.0,C,4
19,25.4,C,4
20,30.4,C,4
21,10.3,S,1
22,10.6,S,1
23,10.7,S,1
24,11.3,S,1
25,11.8,S,1
26,12.7,S,2
27,13.1,S,2
28,13.3,S,2
29,13.7,S,2
30,14.8,S,2
31,15.7,S,3
32,16.6,S,3
33,17.1,S,3
34,19.0,S,3
35,19.5,S,3
36,19.6,S,4
37,19.7,S,4
38,20.5,S,4
39,22.4,S,4
40,22.9,S,4
